,02D1,02D2,02G1,02G2,04D1,04D2,04G1,04G2,08D1,08D2,08G1,08G2,09D1,09D2,09G1,09G2,11D1,11D2,11G1,11G2,12D1,12D2,12G1,12G2,16D1,16D2,16G1,16G2,18D1,18D2,18G1,18G2,19G1,19G2,20D1,20D2,20G1,20G2,23D1,23D2,23G1,23G2,24D1,24D2,24G1,24G2,25D1,25D2,25G1,25G2,26D1,26D2,26G1,26G2,28D1,28D2,28G1,28G2,30D1,30D2,30G1,30G2,32D1,32D2,32G1,32G2,33D1,33D2,33G1,33G2,35D1,35D2,35G1,35G2,36D1,36D2,36G1,36G2,37D1,37D2,37G1,37G2,39D1,39D2,39G1,39G2,40D1,40D2,40G1,40G2,41D1,41D2,41G1,41G2
18G1,3.004775921,1.798608742,2.855866698,2.83679791,4.005714567,3.353338332,2.99663855,3.045555416,4.207580473,7.255404754,3.573542651,1.940444468,2.754060844,3.009405768,2.551167973,2.97809894,2.406055144,2.180963091,1.241203875,1.181751104,2.907714715,2.56073109,2.793960591,2.519036647,4.01586992,4.216405888,1.62196453,1.749295707,8.962558814,9.419832223,0,1.081581207,1.719424066,1.473098261,3.387117202,3.300148325,4.155265466,3.38317181,4.094585266,4.575931773,3.680829681,3.650268074,3.336191304,3.0239975,2.71521144,2.805476648,3.701764922,3.835746058,4.072154463,4.173825155,3.489058384,4.685498083,1.380429081,2.163737135,4.495485049,5.457879391,3.510026033,3.709975274,6.201920942,5.879492787,4.046300617,4.687741121,5.370684686,5.861944533,1.873595692,2.108635251,4.382941084,2.194912363,1.586658772,1.598336159,3.510523701,0.579212985,1.105608771,1.556202123,4.211799039,5.67019027,1.337238844,1.102805662,4.82124495,4.008299464,1.705750117,1.394262583,3.435126027,3.627702377,2.584164308,3.30331167,5.625235995,5.914069422,2.997512086,2.078726018,5.594469742,6.584737088,2.339999502,3.319816191
18G2,3.88777277,1.0060015,4.631980428,4.603931859,5.294279696,2.56073109,4.727983909,4.740999753,5.494278439,6.462797512,4.967621409,2.930084675,3.959054996,4.336029011,2.985592263,3.436067027,3.345359643,3.162632106,2.257154142,1.950580556,2.442177262,1.768123848,3.990262163,3.185691934,3.606049217,4.731017019,2.657777528,3.298299572,8.169951572,8.627224981,1.081581207,0,2.308802072,2.360731343,2.168178752,1.534884191,6.661646745,5.295368807,4.953626903,5.614019137,5.960783334,5.697734826,3.192791948,4.973913525,3.591694607,3.552216346,4.700509215,5.047294611,6.618368283,6.822682133,3.24632223,3.698408145,2.007829077,1.726445989,6.246164178,7.738460519,5.18232047,5.600558854,9.331104334,8.768567907,6.503934149,6.92332466,7.684765847,8.402815224,3.241508891,3.524790635,1.041530166,1.402305121,2.730786778,1.853383483,3.619137195,0.213394257,2.312708278,2.279965779,4.999909959,4.877583028,3.128240632,2.536071374,3.898253083,2.651392532,2.5592253,1.726721291,2.819294499,2.835095135,3.966429049,5.193780396,6.936458118,5.12146218,3.692496312,2.567597636,8.749671723,5.792129846,2.819876049,4.973591485
19G1,3.362030511,0.15242447,2.930077659,2.615517779,4.220420481,1.70715406,3.034765781,2.855476199,4.327169398,5.609220482,2.092679321,0.510813062,2.151983864,2.583076299,1.438410323,1.719160667,1.854576157,1.473254451,1.865744778,1.178285428,3.669185683,0.914546818,1.527966221,1.393533103,3.57427813,3.914890832,2.382881697,2.597744633,7.316374542,7.773647951,1.719424066,2.308802072,0,0.675997182,3.960843449,4.007400901,3.54320881,2.544177722,4.377630766,4.915083788,2.793140852,2.736862643,3.476467598,2.338207081,2.218457325,1.943795924,3.217167678,3.676733111,3.229403772,3.143193564,3.23058119,4.053127975,1.851811521,2.63998277,4.317968647,5.438152919,3.383696353,3.545065323,6.013412819,5.703453394,3.247964165,4.395817723,5.111126729,5.587855298,1.511681587,2.079583815,5.278674288,0.548728091,0.979613466,1.259768775,3.945826368,1.066971287,1.780794573,1.361136741,4.760849084,4.024005998,1.691416731,1.267180479,5.282057868,4.593020632,2.354156829,2.073111454,4.013930912,1.981518105,1.406839104,2.30721819,5.705314905,4.26788515,2.153595421,1.087400892,5.245373488,4.938552816,1.131582471,2.408339382
19G2,2.936437222,0.335333833,2.824425566,2.505516656,3.89791993,1.890063423,2.904761221,2.798956265,4.235460214,5.792129846,2.205542715,0.63982162,1.901267308,2.341314047,1.450517545,1.835884358,1.578840632,1.060691832,1.760543423,1.105042246,3.166954839,1.097456181,1.684660341,1.411863572,3.154849802,3.482795291,2.134748386,2.371289871,7.499283906,7.956557315,1.473098261,2.360731343,0.675997182,0,3.513379477,3.573714157,3.590050549,2.542060577,3.979623789,4.555696582,2.820189012,2.836011201,3.361112477,2.308597367,2.363511893,2.104155571,2.91591298,3.338114243,3.245225881,3.14935212,2.911283054,3.738356981,1.888530351,2.547733151,4.18144979,5.280152496,3.337679595,3.463313832,5.861092101,5.592056203,3.269816533,4.34259067,4.961223583,5.408109272,1.541281133,2.058277993,4.859737493,0.731637454,0.885538134,1.467837845,3.495816814,0.884061924,1.580769083,1.498573054,4.500430976,4.206915362,1.415977811,1.107278781,5.002223011,4.31361083,2.048509807,1.860047557,3.636291349,2.164427469,1.558504306,2.36032097,5.549882774,4.450794513,2.392223413,1.152324008,4.98610373,5.12146218,1.28853896,2.493379844
20D1,2.208977035,0.85357703,2.89925108,3.155565868,2.335388861,0.70115256,2.835202926,2.883209908,2.970806591,4.603218983,3.690672501,3.703860786,2.148586999,1.864474615,3.434614337,3.852229683,3.193243236,3.155788659,2.859607543,2.846742215,1.082564699,0.091454682,4.056052018,3.857067352,2.840223599,2.720164769,3.810617025,3.720505806,6.310373043,6.767646452,3.387117202,2.168178752,3.960843449,3.513379477,0,0.7026265,3.987151522,2.720889533,2.233626891,2.855897274,3.648562215,3.775680216,1.619033128,3.07653434,3.006190458,3.341754571,2.563398047,1.977048356,3.629864401,3.941876095,2.257899339,3.653364193,4.656301677,4.961617969,3.522248789,4.503611209,3.620005725,3.598113921,4.739783564,4.632583095,3.735573392,3.519934032,3.683541049,4.154865983,3.028135071,2.934987766,1.670225048,0.457273409,2.605030359,3.40556644,0.957948319,2.072972787,3.183712421,2.812230736,3.295877218,3.018004499,3.145380699,3.333104306,2.129640179,1.600408977,3.249438783,2.948546215,1.701457881,0.975516606,3.005467449,2.859542865,3.734391465,3.26188365,3.988761328,3.437500065,4.042909537,3.932551317,3.36552862,2.911307322
20D2,2.744113401,0.945031712,3.122410422,3.202629134,2.835005924,0.609697879,3.034032356,2.942381496,3.190530749,4.511764301,3.74482479,3.799433437,2.348196988,2.250351989,3.250718082,3.668192131,3.150743239,3.231983874,2.712540021,2.618371759,1.4696346,0.182909364,4.105846024,3.850553943,3.133072324,3.153071171,3.723468721,3.706369863,6.218918361,6.67619177,3.300148325,1.534884191,4.007400901,3.573714157,0.7026265,0,4.428090196,2.939683199,2.674160379,3.279666048,3.766099009,3.793263095,1.261578628,3.166836891,2.673245439,3.049676044,2.838098089,2.405066793,3.866220781,4.171031293,2.589961393,3.896817741,4.574134664,4.6871085,3.968687586,4.977197982,3.514063631,3.598113853,5.243572342,5.095414893,3.882228101,3.806215066,4.216422597,4.780925226,2.972842764,2.925823634,1.518797295,0.548728091,2.531568533,3.115551059,1.491395891,2.164427469,3.064441972,2.607546994,3.743955923,2.926549817,3.316313344,3.411682737,2.37502789,1.836687655,3.294962778,2.644236662,2.217831438,0.884061924,3.01814761,3.100160185,4.263176093,3.170428968,3.685920161,3.227754527,4.658333761,3.841096635,3.165516269,2.94831199
20G1,3.027607441,2.652185772,2.341566515,3.031945075,2.641458142,1.097456181,2.448107361,2.672056415,2.606536489,2.804610241,3.401235998,3.229347127,3.052397143,2.590797957,4.302533623,4.445146136,3.768006581,3.501744445,3.680440777,3.898826621,3.879348564,1.890063423,3.415451085,3.810653743,4.295411594,3.961236448,4.573450525,4.359646336,4.511764301,4.96903771,4.155265466,6.661646745,3.54320881,3.590050549,3.987151522,4.428090196,0,2.05049796,3.426279728,3.529373706,2.69751069,3.012820911,4.172812269,2.660155505,3.861836358,4.153903563,3.374242669,2.925905654,2.092116796,2.518116677,3.568693029,4.821417065,4.782575975,6.075889758,2.364562686,2.958039596,3.721104335,3.444420377,2.918144861,2.637181572,2.586653877,2.229605056,2.263578849,2.563289529,3.168089798,2.939908639,5.132247236,2.255882151,3.350339866,4.125009963,3.416996125,3.871581529,4.044347102,3.456687626,2.994806094,1.219395757,3.09869623,3.149990178,3.945679402,3.661040995,3.580699131,4.417923797,3.450800111,0.823092136,2.853706596,1.857589084,2.800897341,1.463274908,4.40477791,4.205004851,2.69388208,2.133942575,4.073848871,2.655800111
20G2,2.902035325,3.841096635,2.032404251,1.591795753,2.446790071,2.286367044,1.784631964,1.371226982,2.399814555,1.615699378,1.695195701,2.162531902,1.428910984,1.374616866,2.434345097,2.571215029,2.037785309,1.985904628,2.587641158,2.428011457,3.002855897,3.078974287,1.887963436,2.334755134,3.130981335,2.951627559,3.525501856,3.632175302,3.322853438,3.780126847,3.38317181,5.295368807,2.544177722,2.542060577,2.720889533,2.939683199,2.05049796,0,2.753966095,3.271201713,1.091474212,1.342459926,2.922346726,0.913674829,2.115649866,2.283758141,2.058624495,1.734714551,1.034392883,1.289767745,2.911382896,3.897420103,4.172304214,4.788270978,2.579830984,3.761974018,2.168154457,2.025854656,4.103167028,3.826177285,1.19572667,2.056175244,2.854096178,3.524551309,1.928513893,1.918863333,3.738106953,3.444793014,1.908115033,2.686823067,2.149896735,5.060492392,2.919412871,2.200880483,3.762332013,0.030484894,2.690461476,2.387947562,3.57490166,3.3532495,2.548203916,2.855306989,3.368700187,2.012002999,1.270333423,0.580780489,3.701814269,0.274364045,2.615017582,2.448860714,3.412929166,0.945031712,2.298625444,0.768318244
23D1,2.041649382,4.024005998,3.049440039,3.019100318,1.006831733,2.469276408,2.673432531,2.738103178,2.153762496,1.432790015,4.047256651,4.056179366,2.447285721,1.958856438,4.186735234,4.52723427,3.46201355,3.423651739,3.780169426,3.887834946,2.508668298,3.26188365,4.032636847,4.067763366,3.747936001,3.634443801,4.50627288,4.513765018,3.139944074,3.597217483,4.094585266,4.953626903,4.377630766,3.979623789,2.233626891,2.674160379,3.426279728,2.753966095,0,0.826606227,3.40694237,3.706419598,2.585249596,3.064608235,3.774751691,4.110215709,2.358684777,1.463156968,3.196480518,3.516984644,3.570230209,4.673554184,5.321790621,6.073305753,1.917898769,2.655459433,3.243331384,2.965071637,3.320702231,3.224029264,3.269244358,2.480220971,2.213954222,2.786656421,3.773210675,3.50230627,3.376081424,3.627702377,3.578898144,4.49239582,1.570420212,5.243401755,4.078059808,3.92630726,2.465701746,0.15242447,3.64297307,3.705440808,2.410810052,2.491351641,2.995636507,3.703449376,1.797436031,2.194912363,3.682527552,3.155592326,2.502159008,0.091454682,4.664353622,4.282774107,2.719862878,0.762122348,4.249295276,3.146906231
23D2,2.490350726,4.572734089,3.260951034,3.36420239,1.069394798,3.018004499,2.87750776,3.041565061,1.990572901,0.884061924,4.705360428,4.610476029,3.203235901,2.684515733,4.910693738,5.231450877,4.090925156,4.062201148,4.23632739,4.486490896,3.050473994,3.810611741,4.571836602,4.676646818,4.512153002,4.298001703,4.927810415,4.89052648,2.591215984,3.048489393,4.575931773,5.614019137,4.915083788,4.555696582,2.855897274,3.279666048,3.529373706,3.271201713,0.826606227,0,3.798474001,4.116738366,3.290926005,3.518378975,4.363054888,4.77221395,3.092538285,2.140740354,3.497538925,3.885102145,4.254203766,5.424428087,5.772435304,6.64337301,1.845791879,2.090092347,3.493235732,3.152465941,2.876015854,2.776116186,3.577107091,2.380559038,1.919278883,2.495016976,4.258776844,3.887536067,3.732063975,4.176430468,4.206141736,5.061889278,2.126674234,5.792129846,4.564215347,4.467455089,2.137599543,0.70115256,4.07513722,4.138597265,2.516069972,2.738360738,3.326285657,4.247600596,2.201601419,2.743640453,4.276312007,3.672400845,1.952823967,0.457273409,5.240876181,4.9476562,2.657391515,0.213394257,4.940945065,3.697402768
23G1,3.704498119,4.786128346,2.267630918,1.313221326,3.161199116,3.231398756,1.940529433,1.360265807,2.721909143,0.670667666,1.703086172,2.452994427,2.046071817,2.178796234,2.464528364,2.468480956,2.147193649,2.238766995,2.735357493,2.582182599,3.824297298,4.024005998,1.910885877,2.438579294,3.882422363,3.780485208,3.467679184,3.702966869,2.377821726,2.835095135,3.680829681,5.960783334,2.793140852,2.820189012,3.648562215,3.766099009,2.69751069,1.091474212,3.40694237,3.798474001,0,0.555368376,3.64485243,0.709019747,2.247649591,2.326718181,2.812007717,2.64770605,0.74749758,0.730230032,3.849799099,4.598411528,4.239757349,4.687706804,3.274219982,4.153956558,1.719190864,1.58056019,4.46103879,4.171495623,0.509767525,2.203417635,3.278856361,3.988451772,1.976809446,1.9888613,4.580526076,4.389824725,2.205676862,2.690912625,3.040438041,6.005524103,2.998070673,2.421178495,4.337960226,0.914546818,3.141767643,2.695285217,4.421495239,4.242456173,2.665393458,2.907987361,4.264843111,2.957034711,1.487044422,1.3095618,4.240802947,0.670667666,2.343937209,2.407659889,3.938118926,0,2.343498181,1.134869466
23G2,4.042421436,5.12146218,2.539828924,1.492108326,3.488125518,3.566732589,2.224901912,1.492733261,2.920978969,0.335333833,1.650358562,2.441468709,2.260915099,2.482711824,2.307287471,2.241690866,2.00305837,2.261314817,2.746887097,2.504136474,4.027952511,4.359339831,1.72604921,2.273271088,4.058151838,4.055005993,3.557885189,3.839830795,2.042487893,2.499761302,3.650268074,5.697734826,2.736862643,2.836011201,3.775680216,3.793263095,3.012820911,1.342459926,3.706419598,4.116738366,0.555368376,0,3.597305264,0.930359133,1.902394792,1.990627939,2.947851671,2.882935775,1.176556861,1.183459897,3.989464257,4.723878621,4.174161727,4.610411735,3.584210935,4.528924936,1.613246286,1.637639351,4.816384392,4.491288458,0.811673968,2.472486795,3.6989023,4.45934381,1.977533184,2.053598336,4.646711958,4.725158559,2.215827875,2.479441928,3.27815405,6.340857937,3.045372721,2.300291148,4.663753316,1.249880651,3.285949703,2.742767025,4.532745949,4.339998989,2.757864625,2.846828545,4.512906432,3.292368544,1.443962208,1.543389351,4.601775551,1.0060015,1.905382639,2.240507121,4.405718959,0.335333833,2.144015028,1.038681704
24D1,3.089088132,3.505762802,3.704463781,3.319961442,2.972300004,1.951033211,3.427195436,3.027431336,3.287258724,1.951033211,3.536288731,3.379783292,2.371923342,2.421181478,3.101932088,3.433169922,2.712548707,2.954876166,3.332311866,3.00942662,2.619226795,2.743640453,3.162343796,3.098757011,3.569111469,3.878545614,4.356788384,4.508803899,3.658187271,4.11546068,3.336191304,3.192791948,3.476467598,3.361112477,1.619033128,1.261578628,4.172812269,2.922346726,2.585249596,3.290926005,3.64485243,3.597305264,0,3.180439023,2.384882051,2.721280631,2.200533767,2.143934111,3.806230003,4.060797917,3.280522539,4.397601415,4.632466007,5.193105734,3.101549792,4.635929061,3.26302243,3.390267645,5.511220761,5.191083366,3.69518236,3.729193454,4.295586591,4.997999491,3.399373519,3.402374364,2.31971412,3.10945918,2.929250675,3.421093469,2.098284976,4.725158559,3.693644512,3.055585794,4.21673905,0.365818727,3.548866032,3.280996989,2.760906244,2.532095056,2.883769245,2.913580438,2.607255101,1.676669166,3.16159797,3.247339616,4.540875016,0.609697879,3.442290352,3.277974945,4.972139928,1.280365545,3.132374105,2.736931653
